id,name,year,duration,genre,actors
147,The Hunger Games: Mockingjay - Part 2,2015,137 min,"Action, Adventure, Sci-Fi","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson"
148,Serenity,2005,119 min,"Action, Adventure, Sci-Fi","Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk"
149,Minority Report,2002,145 min,"Action, Crime, Mystery","Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow"
150,V for Vendetta,2005,132 min,"Action, Drama, Sci-Fi","Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea"
151,Ender's Game,2013,114 min,"Action, Adventure, Fantasy","Harrison Ford,Asa Butterfield,Hailee Steinfeld,Abigail Breslin"
152,Zombieland,2009,88 min,"Adventure, Comedy, Horror","Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin"
153,The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Philip Seymour Hoffman"
154,Cloud Atlas,2012,172 min,"Action, Drama, Mystery","Tom Hanks,Halle Berry,Hugh Grant,Hugo Weaving"
155,E.T. the Extra-Terrestrial,1982,115 min,"Family, Sci-Fi","Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace"
156,Hotel Artemis,2018,94 min,"Action, Crime, Drama","Jodie Foster,Sofia Boutella,Dave Bautista,Sterling K. Brown"
157,The Matrix Reloaded,2003,138 min,"Action, Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving"
158,Pacific Rim: Uprising,2018,111 min,"Action, Adventure, Sci-Fi","John Boyega,Scott Eastwood,Cailee Spaeny,Burn Gorman"
159,Dr. Cyclops,1940,77 min,"Adventure, Drama, Horror","Albert Dekker,Thomas Coley,Janice Logan,Charles Halton"
160,Waterworld,1995,135 min,"Action, Adventure, Sci-Fi","Kevin Costner,Jeanne Tripplehorn,Dennis Hopper,Tina Majorino"
161,The House with a Clock in Its Walls,2018,105 min,"Comedy, Family, Fantasy","Jack Black,Cate Blanchett,Owen Vaccaro,Kyle MacLachlan"
162,The Dark Tower,2017,95 min,"Action, Adventure, Fantasy","Idris Elba,Matthew McConaughey,Tom Taylor,Dennis Haysbert"
163,World War Z,2013,116 min,"Action, Adventure, Horror","Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale"
164,The Amazing Spider-Man,2012,136 min,"Action, Adventure, Sci-Fi","Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan"
165,Sky High,2005,100 min,"Adventure, Comedy, Family","Kurt Russell,Kelly Preston,Michael Angarano,Danielle Panabaker"
166,Predator,1987,107 min,"Action, Adventure, Sci-Fi","Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo"
167,MFKZ,2017,94 min,"Animation, Action, Comedy","Orelsan,Gringe,Redouanne Harjane,Féodor Atkine"
168,Oblivion,2013,124 min,"Action, Adventure, Sci-Fi","Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko"
169,Flashout,2019,90 min,Sci-Fi,"Blythe Auffarth,Maya Stojan,Allison Dunbar,Malea Rose"
170,Armageddon,1998,151 min,"Action, Adventure, Sci-Fi","Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler"
171,I Am Legend,2007,101 min,"Drama, Horror, Sci-Fi","Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield"
172,Independence Day,1996,145 min,"Action, Adventure, Sci-Fi","Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell"
173,Snowpiercer,2013,126 min,"Action, Drama, Sci-Fi","Chris Evans,Jamie Bell,Tilda Swinton,Ed Harris"
174,Starship Troopers,1997,129 min,"Action, Adventure, Sci-Fi","Casper Van Dien,Denise Richards,Dina Meyer,Jake Busey"
175,Mortal Kombat,1995,101 min,"Action, Adventure, Fantasy","Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa"
176,Mad Max,1979,88 min,"Action, Adventure, Sci-Fi","Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley"
177,About Time,2013,123 min,"Comedy, Drama, Fantasy","Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson"
178,Stargate,1994,116 min,"Action, Adventure, Sci-Fi","Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors"
179,King Charles III,2017,88 min,"Drama, Sci-Fi","Tim Pigott-Smith,Oliver Chris,Richard Goulding,Charlotte Riley"
180,TRON: Legacy,2010,125 min,"Action, Adventure, Fantasy","Jeff Bridges,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner"
181,Limitless,2011,105 min,"Mystery, Sci-Fi, Thriller","Bradley Cooper,Anna Friel,Abbie Cornish,Robert De Niro"
182,Fantastic Four,2015,100 min,"Action, Adventure, Drama","Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell"
183,G-Force,2009,88 min,"Animation, Action, Adventure","Will Arnett,Penélope Cruz,Zach Galifianakis,Bill Nighy"
184,District 9,2009,112 min,"Action, Sci-Fi, Thriller","Sharlto Copley,David James,Jason Cope,Nathalie Boltt"
185,Total Recall,1990,113 min,"Action, Sci-Fi, Thriller","Arnold Schwarzenegger,Sharon Stone,Michael Ironside,Rachel Ticotin"
186,A Wrinkle in Time,2018,109 min,"Adventure, Family, Fantasy","Storm Reid,Oprah Winfrey,Reese Witherspoon,Mindy Kaling"
187,X-Men: The Last Stand,2006,104 min,"Action, Adventure, Sci-Fi","Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen"
188,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams"
189,Godzilla,2014,123 min,"Action, Adventure, Sci-Fi","Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,Ken Watanabe"
190,Ghostbusters,2016,116 min,"Action, Comedy, Fantasy","Melissa McCarthy,Kristen Wiig,Kate McKinnon,Leslie Jones"
191,Batman & Robin,1997,125 min,"Action, Sci-Fi","Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman"
192,Independence Day: Resurgence,2016,120 min,"Action, Adventure, Sci-Fi","Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe"
193,The Amazing Spider-Man 2,2014,142 min,"Action, Adventure, Sci-Fi","Andrew Garfield,Emma Stone,Jamie Foxx,Paul Giamatti"
194,Spider-Man 2,2004,127 min,"Action, Adventure, Sci-Fi","Tobey Maguire,Kirsten Dunst,Alfred Molina,James Franco"
195,The Butterfly Effect,2004,113 min,"Drama, Sci-Fi, Thriller","Ashton Kutcher,Amy Smart,Melora Walters,Elden Henson"
196,Idiocracy,2006,84 min,"Adventure, Comedy, Sci-Fi","Luke Wilson,Maya Rudolph,Dax Shepard,Terry Crews"
197,Geostorm,2017,109 min,"Action, Sci-Fi, Thriller","Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara"
198,The Hunger Games: Mockingjay - Part 1,2014,123 min,"Action, Adventure, Sci-Fi","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson"
199,The League of Extraordinary Gentlemen,2003,110 min,"Action, Adventure, Fantasy","Sean Connery,Stuart Townsend,Peta Wilson,Jason Flemyng"
