id,name,year,duration,genre,actors
92,Iron Man 2,2010,2h 4m,"Adventure,Action,Science Fiction","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell"
93,Missing Link,2019,1h 35m,"Animation,Comedy,Adventure,Fantasy,Family","Zach Galifianakis,Hugh Jackman,Zoe Saldana,Stephen Fry,Emma Thompson"
94,Spider-Man: Homecoming,2017,2h 13m,"Action,Adventure,Science Fiction,Drama","Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,Jon Favreau"
95,The Dark Knight,2008,2h 32m,"Drama,Action,Crime,Thriller","Christian Bale,Michael Caine,Heath Ledger,Gary Oldman,Aaron Eckhart"
96,Terminator Genisys,2015,2h 6m,"Science Fiction,Action,Thriller,Adventure","Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons"
97,Star Wars: The Last Jedi,2017,2h 32m,"Fantasy,Adventure,Science Fiction,Action","Daisy Ridley,John Boyega,Oscar Isaac,Adam Driver,Mark Hamill"
98,How to Train Your Dragon 2,2014,1h 42m,"Fantasy,Action,Adventure,Animation,Comedy,Family","Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera"
99,To All the Boys I've Loved Before,2018,1h 39m,"Comedy,Romance","Lana Condor,Noah Centineo,Janel Parrish,Anna Cathcart,Madeleine Arthur"
100,Iron Man 3,2013,2h 11m,"Action,Adventure,Science Fiction","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Guy Pearce,Rebecca Hall"
101,Zootopia,2016,1h 49m,"Animation,Adventure,Family,Comedy","Ginnifer Goodwin,Jason Bateman,Shakira,Idris Elba,Octavia Spencer"
102,Second Act,2018,1h 40m,"Romance,Comedy,Drama","Jennifer Lopez,Vanessa Hudgens,Leah Remini,Milo Ventimiglia,Treat Williams"
103,King Kong,2005,3h 7m,"Adventure,Drama,Action","Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks"
104,Justice League vs. the Fatal Five,2019,1h 27m,"Animation,Action,Science Fiction","Elyes Gabel,Diane Guerrero,Kevin Conroy,Susan Eisenberg,George Newbern"
105,First Man,2018,2h 21m,"History,Drama","Ryan Gosling,Claire Foy,Jason Clarke,Kyle Chandler,Corey Stoll"
106,Die Hard,1988,2h 11m,"Action,Thriller","Bruce Willis,Alan Rickman,Alexander Godunov,Bonnie Bedelia,Reginald VelJohnson"
107,Harry Potter and the Half-Blood Prince,2009,2h 33m,"Adventure,Fantasy,Family","Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon"
108,The Shawshank Redemption,1994,2h 22m,"Drama,Crime","Tim Robbins,Morgan Freeman,Bob Gunton,Clancy Brown,Mark Rolston"
109,Justice League,2017,2h 0m,"Action,Adventure,Fantasy,Science Fiction","Ben Affleck,Henry Cavill,Gal Gadot,Ezra Miller,Jason Momoa"
110,Love of My Life,2017,1h 46m,"Drama,Comedy","Anna Chancellor,John Hannah,Hermione Norris,James Fleet,Greg Wise"
111,The Nun,2018,1h 36m,"Horror,Mystery,Thriller","Bonnie Aarons,Taissa Farmiga,Demián Bichir,Jonas Bloquet,Charlotte Hope"
112,Logan,2017,2h 17m,"Action,Drama,Science Fiction","Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,Stephen Merchant"
113,Frozen,2013,1h 42m,"Animation,Adventure,Family","Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad,Santino Fontana"
114,The Fate of the Furious,2017,2h 16m,"Adventure,Action,Crime,Thriller,Mystery","Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez,Tyrese Gibson"
